Hump_Index,Start_Time(s),Peak_Time(s),Start_duration(s),Stabilization_Time(s),Stabilization_Duration(s),Descent_Start_Time(s),End_Time(s),Descent_Duration(s),Avg_Stabilization_Roll_Value(deg),New_Baseline_Value(deg),Caused_Baseline_Shift
1,4.242,9.708,5.467,9.717,5.475,41.100,44.700,3.600,4.699,-68.314,True
2,67.492,72.917,5.425,72.925,5.433,104.333,107.917,3.583,4.667,-68.399,True
3,130.725,136.092,5.367,136.100,5.375,167.592,171.167,3.575,4.515,-68.435,True
