Hump_Index,Start_Time(s),Peak_Time(s),Start_duration(s),Stabilization_Time(s),Stabilization_Duration(s),Descent_Start_Time(s),End_Time(s),Descent_Duration(s),Avg_Stabilization_Roll_Value(deg),New_Baseline_Value(deg),Caused_Baseline_Shift
1,83.192,87.042,3.850,87.050,3.858,90.283,149.067,58.783,8.111,1.063,True
2,200.225,203.750,3.525,203.758,3.533,207.125,270.092,62.967,8.133,1.073,True
3,317.158,320.633,3.475,320.642,3.483,323.992,391.142,67.150,8.120,1.063,True
