Hump_Index,Start_Time(s),Peak_Time(s),Start_duration(s),Stabilization_Time(s),Stabilization_Duration(s),Descent_Start_Time(s),End_Time(s),Descent_Duration(s),Avg_Stabilization_Roll_Value(deg),New_Baseline_Value(deg),Caused_Baseline_Shift
1,81.017,89.925,8.908,89.933,8.917,146.825,151.033,4.208,84.463,-6.988,True
2,198.142,206.758,8.617,206.767,8.625,267.850,272.058,4.208,84.677,-7.054,True
3,315.067,323.608,8.542,323.617,8.550,388.900,393.083,4.183,84.694,-7.041,True
