Hump_Index,Start_Time(s),Peak_Time(s),Start_duration(s),Stabilization_Time(s),Stabilization_Duration(s),Descent_Start_Time(s),End_Time(s),Descent_Duration(s),Avg_Stabilization_Roll_Value(deg),New_Baseline_Value(deg),Caused_Baseline_Shift
1,7.058,16.092,9.033,16.100,9.042,39.300,44.517,5.217,30.806,2.376,True
2,72.233,79.450,7.217,79.458,7.225,102.717,107.508,4.792,30.795,2.962,True
3,135.875,142.900,7.025,142.908,7.033,166.142,170.925,4.783,30.787,2.942,True
